FILE_NAME,K_NUM,VERTEX_NUM,EDGES_NUM,INSERTS,UPDATES,DELETES,R_AVG,DURATION,RESIDENT_MEM
./graphs/rand_graphs/26028_0.0761924.gr,8,26028,51614781,26028,163459,26028,0.133143,0.491272,434068
./graphs/rand_graphs/7558_0.0165576.gr,8,7558,946236,7558,25962,7558,0.216246,0.0282456,15956
./graphs/rand_graphs/31323_0.0626958.gr,8,31323,61515425,31323,196061,31323,0.129243,0.580301,516400
./graphs/rand_graphs/10547_0.0448186.gr,8,10547,4986577,10547,50287,10547,0.176136,0.0719729,49880
./graphs/rand_graphs/12419_0.0924971.gr,8,12419,14263415,12419,70926,12419,0.162168,0.152363,167596
./graphs/rand_graphs/29629_0.0423221.gr,8,29629,37136308,29629,172986,29629,0.154193,0.392667,420252
./graphs/rand_graphs/19627_0.01004.gr,8,19627,3866301,19627,75703,19627,0.201846,0.0903675,47176
./graphs/rand_graphs/24546_0.0907703.gr,8,24546,54690745,24546,155939,24546,0.124291,0.5021,535612
./graphs/rand_graphs/7356_0.0965595.gr,8,7356,5226070,7356,38053,7356,0.163036,0.0635696,64352
./graphs/rand_graphs/30850_0.0710726.gr,8,30850,67632273,30850,195598,30850,0.123796,0.629631,663256
./graphs/rand_graphs/26557_0.0464565.gr,8,26557,32768351,26557,153707,26557,0.157154,0.346742,372764
./graphs/rand_graphs/27804_0.0804091.gr,8,27804,62157381,27804,176045,27804,0.123151,0.574336,608136
./graphs/rand_graphs/18622_0.0240747.gr,8,18622,8348945,18622,87448,18622,0.178759,0.125586,82712
./graphs/rand_graphs/9029_0.0622772.gr,8,9029,5077433,9029,44363,9029,0.173047,0.0683653,77436
./graphs/rand_graphs/16919_0.0495725.gr,8,16919,14188980,16919,90118,16919,0.163928,0.165518,143188
./graphs/rand_graphs/8430_0.0385687.gr,8,8430,2743151,8430,37229,8430,0.184875,0.0466972,39400
./graphs/rand_graphs/23344_0.0650674.gr,8,23344,35458571,23344,140902,23344,0.152226,0.352655,378660
./graphs/rand_graphs/9384_0.0626563.gr,8,9384,5523085,9384,46895,9384,0.170006,0.0723764,81276
./graphs/rand_graphs/22653_0.0252868.gr,8,22653,12978805,22653,111912,22653,0.17193,0.178562,190112
./graphs/rand_graphs/24854_0.0588026.gr,8,24854,36333035,24854,150296,24854,0.15222,0.369843,393456
./graphs/rand_graphs/15732_0.0257451.gr,8,15732,6372320,15732,72321,15732,0.180704,0.099521,70412
./graphs/rand_graphs/21607_0.0801562.gr,8,21607,37425096,21607,133118,21607,0.146335,0.363036,355248
./graphs/rand_graphs/21844_0.0569305.gr,8,21844,27164567,21844,127206,21844,0.159344,0.283758,308708
./graphs/rand_graphs/5547_0.0357877.gr,8,5547,1101972,5547,21589,5547,0.200705,0.0241935,16040
./graphs/rand_graphs/8778_0.0304369.gr,8,8778,2346010,8778,36748,8778,0.191802,0.044477,36404
./graphs/rand_graphs/16314_0.0712818.gr,8,16314,18965709,16314,93404,16314,0.161198,0.201274,221408
./graphs/rand_graphs/28446_0.0406477.gr,8,28446,32889482,28446,163607,28446,0.157421,0.351502,381672
./graphs/rand_graphs/14617_0.0919626.gr,8,14617,19650004,14617,86438,14617,0.158339,0.206569,218956
./graphs/rand_graphs/27489_0.0556911.gr,8,27489,42083891,27489,166461,27489,0.148297,0.417615,446588
./graphs/rand_graphs/28960_0.0619205.gr,8,28960,51921993,28960,179578,28960,0.135595,0.496462,474944
