FILE_NAME,VERTEX_NUM,EDGES_NUM,INSERTS,UPDATES,DELETES,R_AVG,DURATION,RESIDENT_MEM
./graphs/change_edges/12000_20.gr,2,12000,28799537,12000,76184,12000,0.152302,0.27571,279844
./graphs/change_edges/12000_1.gr,2,12000,1438606,12000,40647,12000,0.223168,0.0581919,20956
./graphs/change_edges/12000_5.gr,2,12000,7197652,12000,59968,12000,0.192814,0.110453,102856
./graphs/change_edges/12000_4.gr,2,12000,5762085,12000,57262,12000,0.195294,0.0999288,57804
./graphs/change_edges/12000_3.gr,2,12000,4316547,12000,53740,12000,0.200238,0.0863481,54100
./graphs/change_edges/12000_15.gr,2,12000,21597880,12000,74768,12000,0.170062,0.223387,198852
./graphs/change_edges/12000_7_5.gr,2,12000,10797507,12000,65166,12000,0.187574,0.139825,102872
./graphs/change_edges/12000_2_5.gr,2,12000,3602067,12000,51719,12000,0.201841,0.0798909,54320
./graphs/change_edges/12000_2.gr,2,12000,2880618,12000,48897,12000,0.206589,0.0729711,33732
./graphs/change_edges/12000_10.gr,2,12000,14398914,12000,70249,12000,0.186903,0.172067,167560
